iter	Passed	Remaining
0	78	47203
1	159	47576
2	240	47833
3	315	47001
4	395	47034
5	472	46749
6	552	46771
7	631	46739
8	709	46623
9	790	46641
10	872	46743
11	951	46613
12	1026	46361
13	1110	46493
14	1183	46171
15	1259	45982
16	1344	46106
17	1429	46209
18	1504	45998
19	1586	45999
20	1659	45759
21	1742	45776
22	1827	45838
23	1903	45689
24	1979	45522
25	2062	45527
26	2132	45248
27	2209	45139
28	2285	45000
29	2375	45142
30	2452	45007
31	2526	44836
32	2598	44653
33	2672	44481
34	2746	44343
35	2820	44183
36	2893	44030
37	2970	43935
38	3057	43976
39	3126	43772
40	3202	43665
41	3280	43578
42	3373	43693
43	3455	43660
44	3530	43546
45	3604	43407
46	3672	43210
47	3749	43122
48	3820	42966
49	3900	42909
50	3984	42895
51	4057	42762
52	4128	42614
53	4203	42506
54	4274	42358
55	4352	42285
56	4434	42248
57	4502	42076
58	4573	41935
59	4650	41855
60	4718	41696
61	4787	41543
62	4862	41449
63	4931	41301
64	5006	41207
65	5083	41130
66	5163	41079
67	5235	40961
68	5303	40812
69	5377	40712
70	5445	40572
71	5524	40513
72	5593	40381
73	5669	40299
74	5739	40174
75	5805	40029
76	5877	39919
77	5949	39818
78	6018	39692
79	6096	39624
80	6163	39492
81	6234	39385
82	6308	39295
83	6375	39165
84	6443	39037
85	6510	38914
86	6583	38822
87	6646	38669
88	6718	38577
89	6783	38438
90	6854	38342
91	6923	38227
92	6994	38131
93	7061	38011
94	7127	37888
95	7209	37849
96	7274	37720
97	7340	37600
98	7412	37511
99	7484	37420
100	7552	37315
101	7624	37225
102	7700	37155
103	7767	37043
104	7833	36931
105	7906	36845
106	7987	36801
107	8049	36671
108	8132	36634
109	8194	36504
110	8259	36388
111	8320	36251
112	8394	36176
113	8466	36092
114	8529	35970
115	8604	35901
116	8666	35776
117	8739	35697
118	8824	35670
119	8892	35571
120	8976	35533
121	9038	35411
122	9097	35282
123	9171	35207
124	9242	35120
125	9313	35035
126	9385	34954
127	9455	34868
128	9529	34793
129	9608	34736
130	9678	34652
131	9739	34529
132	9807	34438
133	9868	34317
134	9934	34217
135	9994	34098
136	10056	33985
137	10118	33874
138	10183	33774
139	10246	33668
140	10306	33551
141	10376	33466
142	10439	33363
143	10509	33280
144	10575	33185
145	10641	33089
146	10706	32994
147	10775	32910
148	10840	32811
149	10911	32734
150	10971	32624
151	11038	32535
152	11105	32446
153	11171	32353
154	11232	32247
155	11308	32186
156	11369	32081
157	11430	31975
158	11504	31907
159	11564	31801
160	11638	31734
161	11707	31653
162	11773	31564
163	11846	31495
164	11919	31424
165	11993	31356
166	12055	31258
167	12126	31183
168	12199	31112
169	12262	31017
170	12332	30938
171	12404	30867
172	12468	30774
173	12542	30706
174	12605	30612
175	12680	30547
176	12743	30453
177	12805	30358
178	12873	30278
179	12946	30209
180	13016	30131
181	13082	30046
182	13145	29954
183	13206	29858
184	13270	29769
185	13340	29692
186	13407	29611
187	13471	29522
188	13536	29436
189	13605	29359
190	13676	29286
191	13756	29232
192	13827	29160
193	13899	29087
194	13958	28990
195	14026	28912
196	14093	28831
197	14154	28736
198	14219	28653
199	14289	28579
200	14364	28514
201	14439	28449
202	14514	28385
203	14579	28301
204	14645	28219
205	14707	28129
206	14767	28037
207	14843	27973
208	14902	27878
209	14962	27787
210	15029	27709
211	15091	27620
212	15159	27543
213	15223	27458
214	15289	27378
215	15350	27289
216	15416	27210
217	15489	27141
218	15547	27048
219	15618	26976
220	15678	26887
221	15739	26799
222	15802	26716
223	15862	26626
224	15939	26566
225	16009	26494
226	16075	26414
227	16147	26345
228	16220	26279
229	16288	26202
230	16349	26116
231	16409	26029
232	16476	25951
233	16534	25862
234	16597	25779
235	16672	25715
236	16736	25634
237	16801	25555
238	16876	25491
239	16938	25407
240	16996	25318
241	17061	25240
242	17126	25161
243	17190	25081
244	17251	24997
245	17323	24929
246	17388	24850
247	17454	24773
248	17522	24700
249	17587	24622
250	17659	24554
251	17727	24480
252	17795	24407
253	17857	24324
254	17917	24241
255	17993	24178
256	18059	24102
257	18124	24026
258	18199	23960
259	18261	23880
260	18335	23814
261	18396	23732
262	18461	23655
263	18537	23593
264	18601	23515
265	18662	23433
266	18721	23349
267	18783	23269
268	18857	23203
269	18923	23128
270	18988	23052
271	19060	22985
272	19125	22908
273	19189	22831
274	19261	22763
275	19331	22693
276	19400	22622
277	19464	22545
278	19524	22463
279	19587	22385
280	19647	22304
281	19710	22226
282	19775	22151
283	19842	22078
284	19905	22001
285	19968	21923
286	20030	21844
287	20089	21763
288	20152	21686
289	20214	21608
290	20281	21536
291	20345	21460
292	20402	21377
293	20468	21304
294	20530	21226
295	20592	21148
296	20653	21070
297	20718	20996
298	20789	20928
299	20864	20864
300	20955	20816
301	21024	20746
302	21086	20669
303	21157	20600
304	21222	20526
305	21303	20467
306	21366	20391
307	21432	20319
308	21494	20242
309	21557	20166
310	21631	20101
311	21692	20024
312	21759	19952
313	21820	19874
314	21893	19808
315	21962	19738
316	22025	19662
317	22088	19588
318	22160	19520
319	22232	19453
320	22292	19375
321	22348	19294
322	22417	19225
323	22476	19146
324	22542	19074
325	22604	18999
326	22675	18931
327	22746	18862
328	22821	18798
329	22884	18723
330	22949	18650
331	23028	18589
332	23091	18514
333	23160	18445
334	23222	18369
335	23282	18293
336	23344	18218
337	23406	18143
338	23475	18074
339	23537	17999
340	23601	17926
341	23666	17853
342	23736	17785
343	23795	17708
344	23861	17636
345	23926	17564
346	23987	17489
347	24055	17419
348	24125	17350
349	24197	17283
350	24260	17210
351	24319	17134
352	24386	17063
353	24447	16988
354	24505	16912
355	24569	16839
356	24637	16769
357	24704	16699
358	24770	16628
359	24837	16558
360	24900	16485
361	24960	16410
362	25027	16340
363	25100	16273
364	25172	16206
365	25240	16137
366	25302	16064
367	25367	15992
368	25434	15922
369	25509	15857
370	25574	15786
371	25638	15714
372	25713	15648
373	25776	15576
374	25848	15508
375	25912	15437
376	25985	15370
377	26051	15299
378	26115	15228
379	26179	15156
380	26241	15083
381	26300	15009
382	26367	14939
383	26431	14867
384	26496	14796
385	26557	14723
386	26619	14651
387	26692	14584
388	26762	14516
389	26834	14449
390	26901	14379
391	26971	14311
392	27044	14244
393	27110	14174
394	27181	14106
